Codigo_Item_Negativo;Descricao_Item_Negativo;NCM;Saldo_Loja1;Saldo_Loja2_Deposito;Saldo_Loja3_CD;Deficit_Pecas;Status_Cobertura;Saldo_Total_Disponivel_NCM;Doador1_Codigo;Doador1_Descricao;Doador1_Saldo_Total;Doador1_Loja1;Doador1_Loja2;Doador1_Loja3;Doador2_Codigo;Doador2_Descricao;Doador2_Saldo_Total;Doador2_Loja1;Doador2_Loja2;Doador2_Loja3;Doador3_Codigo;Doador3_Descricao;Doador3_Saldo_Total;Doador3_Loja1;Doador3_Loja2;Doador3_Loja3
"15654";"GBA32065 BRINCO DE METAL 1 PCT 12 UND";"71171900";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15655";"LBA33153 BRINCO DE METAL 2PCT 24 UND";"71171900";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15656";"GBA34265 BRINCO DE METAL 2 PCT 24UND";"71171900";-12,00;0,00;0,00;12,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15658";"HBA12612 BRINCO DE METAL 2 PCT 24 UND";"71171900";-15,00;0,00;0,00;15,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15660";"GBA33164 BRINCO DE METAL 3 PCT 36 UND";"71171900";-6,00;0,00;0,00;6,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15661";"NBA12433 BRINCO DE METAL 2 PCT 24 UND";"71171900";-12,00;0,00;0,00;12,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15662";"RBA52053 BRINCO DE METAL 1 PCT 12 UND";"71171900";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15664";"LBB62148 BRINCO DE METAL 2 PCT 24 UND";"71171900";-5,00;0,00;0,00;5,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15665";"KBA22648 BRINCO DE METAL 1 PCT 12 UND";"71171900";-4,00;0,00;0,00;4,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
"15666";"JPA14151 PULSEIRA DE METAL 4 PCT 48 UND";"71171900";-24,00;0,00;0,00;24,00;"COBERTURA_TOTAL";95.360,00;"3515";"LB227105 - BIJUTERIAS DE METAIS COMUN COLAR KIT";2.197,00;2.197,00;0,00;0,00;"1660";"RTFJ-0808 PIRANHA PLASTICO";2.178,00;2.178,00;0,00;0,00;"1088";"FAA11206 ANEL";1.970,00;314,00;0,00;1.656,00
