Codigo_Item_Negativo;Descricao_Item_Negativo;NCM;Saldo_Loja1;Saldo_Loja2_Deposito;Saldo_Loja3_CD;Deficit_Pecas;Status_Cobertura;Saldo_Total_Disponivel_NCM;Doador1_Codigo;Doador1_Descricao;Doador1_Saldo_Total;Doador1_Loja1;Doador1_Loja2;Doador1_Loja3;Doador2_Codigo;Doador2_Descricao;Doador2_Saldo_Total;Doador2_Loja1;Doador2_Loja2;Doador2_Loja3;Doador3_Codigo;Doador3_Descricao;Doador3_Saldo_Total;Doador3_Loja1;Doador3_Loja2;Doador3_Loja3
"1";"***CPU S1150 CORE I5 4570 3 2GHZ 6MB TRAY";"85423120";-33,00;0,00;0,00;33,00;"COBERTURA_TOTAL";37,00;"3866";"LOF-V-G11 LIGHT";33,00;33,00;0,00;0,00;"19";"***CPU S1150 CORE I7 4770S 3 10GHZ 8MB TRAY";1,00;1,00;0,00;0,00;"4996";"HJYL-4744 CINTO";1,00;1,00;0,00;0,00
"2";"***CPU S1150 CORE I5 4570 3 2GHZ 6MB TRAY";"85423120";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";37,00;"3866";"LOF-V-G11 LIGHT";33,00;33,00;0,00;0,00;"19";"***CPU S1150 CORE I7 4770S 3 10GHZ 8MB TRAY";1,00;1,00;0,00;0,00;"4996";"HJYL-4744 CINTO";1,00;1,00;0,00;0,00
"5";"***CPU S1150 CORE I5 4570 3 2GHZ 6MB TRAY";"85423120";-34,00;0,00;0,00;34,00;"COBERTURA_TOTAL";37,00;"3866";"LOF-V-G11 LIGHT";33,00;33,00;0,00;0,00;"19";"***CPU S1150 CORE I7 4770S 3 10GHZ 8MB TRAY";1,00;1,00;0,00;0,00;"4996";"HJYL-4744 CINTO";1,00;1,00;0,00;0,00
"9";"***CPU S1150 CORE I5 4570 3 2GHZ 6MB TRAY";"85423120";-3,00;0,00;0,00;3,00;"COBERTURA_TOTAL";37,00;"3866";"LOF-V-G11 LIGHT";33,00;33,00;0,00;0,00;"19";"***CPU S1150 CORE I7 4770S 3 10GHZ 8MB TRAY";1,00;1,00;0,00;0,00;"4996";"HJYL-4744 CINTO";1,00;1,00;0,00;0,00
"25";"0829 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"42022210";-5,00;0,00;0,00;5,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"28";"0604 - BOLSA DE PLASTICO (PU) SEM MARCA ACONDICIONADAS EM CAIXAS COM 60 PECAS";"42022210";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"41";"06052 - BOLSA FEMININA MATERIAL PLASTICO PU";"42022210";-148,00;0,00;0,00;148,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"50";"6171 - BOLSA DE OMBRO FEMININA MATERIAL PU COM DIVERSOS COMPARTIMENTOS";"42029200";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";113.806,00;"28685";"YH6010-3 - PORTA JOIAS";4.732,00;412,00;2.160,00;2.160,00;"3910";"S-05 MINI CAMERA";3.577,00;3.577,00;0,00;0,00;"3855";"SJTD-039 CONJUNTO DE 4 FACAS";2.678,00;2.678,00;0,00;0,00
"54";"2415 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"42022210";-4,00;0,00;0,00;4,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"58";"0842 - BOLSA COM SUPERFICIE EXTERIOR DE MATERIAL PLASTICO SENDO";"42022210";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"74";"2460 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"42022210";-42,00;0,00;0,00;42,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"75";"0810 - BOLSA FEMININA CONSTITUIDA EXTERNAMENTE";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"76";"0811 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"77";"2423 - BOLSA DE OMBRO FEMININA TAMANHO PEQUENO MATERIAL 100% POLIESTER";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"78";"2452 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"42022210";-20,00;0,00;0,00;20,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"80";"DA-1732 -G  BOLSA ADULTO FEMININA EM PVC - ITEM NO.: DA-1722";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"88";"0825 - BOLSA FEMININA CONSTITUIDA EXTERNAMENTE";"42022210";-6,00;0,00;0,00;6,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"95";"DC-00644 - BOLSA ADULTO FEMININA EM PVC - ITEM NO.: DA-1722";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"97";"DB-953 - BOLSA ADULTO FEMININA EM PVC - ITEM NO.: DA-1722";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"98";"DB-945 - BOLSA ADULTO FEMININA EM PVC - ITEM NO.: DA-1722";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"99";"DB-948 - BOLSA ADULTO FEMININA EM PVC";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"100";"DH160  BOLSA ADULTO FEMININA EM PVC";"42022210";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"101";"DA- 1771 BOLSA ADULTO FEMININA EM PVC";"42022210";-3,00;0,00;0,00;3,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"102";"DB-946 - BOLSA ADULTO FEMININA EM PVC";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"108";"DA - 1762 - BOLSA ADULTO FEMININA EM PVC - ITEM NO.: DA-1722";"42022210";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"111";"DC- 00757 BOLSA ADULTO FEMININA EM PVC";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"114";"DH1052 BOLSA ADULTO FEMININA EM PVC";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"116";"DB-845 BOLSA ADULTO FEMININA EM PVC";"42022210";-5,00;0,00;0,00;5,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"120";"1721 - G BOLSA ADULTO FEMININA EM PVC";"42022210";-3,00;0,00;0,00;3,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"122";"DB-957 -P BOLSA ADULTO FEMININA EM PVC";"42022210";-18,00;0,00;0,00;18,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"139";"1688 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE : 500ML (ACO)";"96170010";-6,00;0,00;0,00;6,00;"COBERTURA_TOTAL";12.091,00;"15712";"BZ-600ML GARRAFA TERMICA 600ML-1";605,00;605,00;0,00;0,00;"10722";"PP-01  -  ORGANIZADOR DE GAVETAS";538,00;538,00;0,00;0,00;"2039";"BM-P1714 GARRAFA TERMICA DE INOX - 1000ML (SEM VIDRO INTERNO)";468,00;468,00;0,00;0,00
"156";"DA-1764 -M BOLSA ADULTO FEMININA EM PVC";"42022210";-5,00;0,00;0,00;5,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"175";"DA-1853 BOLSA ADULTO FEMININA EM PVC";"42022210";-4,00;0,00;0,00;4,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"216";"BM-P1561 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE: 1000ML";"96170010";-4,00;0,00;0,00;4,00;"COBERTURA_TOTAL";12.091,00;"15712";"BZ-600ML GARRAFA TERMICA 600ML-1";605,00;605,00;0,00;0,00;"10722";"PP-01  -  ORGANIZADOR DE GAVETAS";538,00;538,00;0,00;0,00;"2039";"BM-P1714 GARRAFA TERMICA DE INOX - 1000ML (SEM VIDRO INTERNO)";468,00;468,00;0,00;0,00
"267";"DA-1732 -M  BOLSA ADULTO FEMININA EM PVC - ITEM NO.: DA-1722";"42022210";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"272";"BM-P1648 GARRAFA TERMICA DE INOX  500ML";"96170010";-8,00;0,00;0,00;8,00;"COBERTURA_TOTAL";12.091,00;"15712";"BZ-600ML GARRAFA TERMICA 600ML-1";605,00;605,00;0,00;0,00;"10722";"PP-01  -  ORGANIZADOR DE GAVETAS";538,00;538,00;0,00;0,00;"2039";"BM-P1714 GARRAFA TERMICA DE INOX - 1000ML (SEM VIDRO INTERNO)";468,00;468,00;0,00;0,00
"282";"DX-10046 BOLSA ADULTO FEMININA EM PVC";"42022210";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"298";"BM-P1698 GARRAFA TERMICA DE INOX (NAO POSSUI VIDRO INTERNO) - CAPACIDADE: 400ML";"96170010";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";12.091,00;"15712";"BZ-600ML GARRAFA TERMICA 600ML-1";605,00;605,00;0,00;0,00;"10722";"PP-01  -  ORGANIZADOR DE GAVETAS";538,00;538,00;0,00;0,00;"2039";"BM-P1714 GARRAFA TERMICA DE INOX - 1000ML (SEM VIDRO INTERNO)";468,00;468,00;0,00;0,00
"305";"06136 BOLSA ADULTO FEMININA EM PVC";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"309";"DH399 BOLSA ADULTO FEMININA EM PVC";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"314";"0841 BOLSA DE OMBRO FEMININA MATERIAL PU";"42029200";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";113.806,00;"28685";"YH6010-3 - PORTA JOIAS";4.732,00;412,00;2.160,00;2.160,00;"3910";"S-05 MINI CAMERA";3.577,00;3.577,00;0,00;0,00;"3855";"SJTD-039 CONJUNTO DE 4 FACAS";2.678,00;2.678,00;0,00;0,00
"319";"DA- 1724 - GBOLSA ADULTO FEMININA EM PVC";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"320";"DB-1015 BOLSA FEMININA MATERIAL PLASTICO PU";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"321";"06101 BOLSA FEMININA MATERIAL PLASTICO PU";"42022210";-3,00;0,00;0,00;3,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"341";"W7006 BOLSA";"42022220";-8,00;0,00;0,00;8,00;"COBERTURA_TOTAL";46.447,00;"4964";"LWB-M001 MALA DE VIAGEM  GG";3.181,00;3.181,00;0,00;0,00;"5744";"GX-400014 BOLSINHA TERMICA";3.151,00;3.151,00;0,00;0,00;"14342";"X9106 BOLSA TIPO PORTA JOIA 15 200 3000";1.839,00;1.839,00;0,00;0,00
"362";"W7011 MOCHILA";"42029200";-27,00;0,00;0,00;27,00;"COBERTURA_TOTAL";113.806,00;"28685";"YH6010-3 - PORTA JOIAS";4.732,00;412,00;2.160,00;2.160,00;"3910";"S-05 MINI CAMERA";3.577,00;3.577,00;0,00;0,00;"3855";"SJTD-039 CONJUNTO DE 4 FACAS";2.678,00;2.678,00;0,00;0,00
"363";"W7023 MOCHILA";"42029200";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";113.806,00;"28685";"YH6010-3 - PORTA JOIAS";4.732,00;412,00;2.160,00;2.160,00;"3910";"S-05 MINI CAMERA";3.577,00;3.577,00;0,00;0,00;"3855";"SJTD-039 CONJUNTO DE 4 FACAS";2.678,00;2.678,00;0,00;0,00
"364";"W1013 BOLSA";"42022220";-3,00;0,00;0,00;3,00;"COBERTURA_TOTAL";46.447,00;"4964";"LWB-M001 MALA DE VIAGEM  GG";3.181,00;3.181,00;0,00;0,00;"5744";"GX-400014 BOLSINHA TERMICA";3.151,00;3.151,00;0,00;0,00;"14342";"X9106 BOLSA TIPO PORTA JOIA 15 200 3000";1.839,00;1.839,00;0,00;0,00
"370";"W7008 BOLSA";"42029200";-15,00;0,00;0,00;15,00;"COBERTURA_TOTAL";113.806,00;"28685";"YH6010-3 - PORTA JOIAS";4.732,00;412,00;2.160,00;2.160,00;"3910";"S-05 MINI CAMERA";3.577,00;3.577,00;0,00;0,00;"3855";"SJTD-039 CONJUNTO DE 4 FACAS";2.678,00;2.678,00;0,00;0,00
"371";"W7010 BOLSA";"42029200";-15,00;0,00;0,00;15,00;"COBERTURA_TOTAL";113.806,00;"28685";"YH6010-3 - PORTA JOIAS";4.732,00;412,00;2.160,00;2.160,00;"3910";"S-05 MINI CAMERA";3.577,00;3.577,00;0,00;0,00;"3855";"SJTD-039 CONJUNTO DE 4 FACAS";2.678,00;2.678,00;0,00;0,00
"383";"W5010 MOCHILA";"42029200";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";113.806,00;"28685";"YH6010-3 - PORTA JOIAS";4.732,00;412,00;2.160,00;2.160,00;"3910";"S-05 MINI CAMERA";3.577,00;3.577,00;0,00;0,00;"3855";"SJTD-039 CONJUNTO DE 4 FACAS";2.678,00;2.678,00;0,00;0,00
"393";"W7007 BOLSA";"42022220";-7,00;0,00;0,00;7,00;"COBERTURA_TOTAL";46.447,00;"4964";"LWB-M001 MALA DE VIAGEM  GG";3.181,00;3.181,00;0,00;0,00;"5744";"GX-400014 BOLSINHA TERMICA";3.151,00;3.151,00;0,00;0,00;"14342";"X9106 BOLSA TIPO PORTA JOIA 15 200 3000";1.839,00;1.839,00;0,00;0,00
"395";"W107 MOCHILA";"42029200";-17,00;0,00;0,00;17,00;"COBERTURA_TOTAL";113.806,00;"28685";"YH6010-3 - PORTA JOIAS";4.732,00;412,00;2.160,00;2.160,00;"3910";"S-05 MINI CAMERA";3.577,00;3.577,00;0,00;0,00;"3855";"SJTD-039 CONJUNTO DE 4 FACAS";2.678,00;2.678,00;0,00;0,00
"396";"W1301 BOLSA";"42022220";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";46.447,00;"4964";"LWB-M001 MALA DE VIAGEM  GG";3.181,00;3.181,00;0,00;0,00;"5744";"GX-400014 BOLSINHA TERMICA";3.151,00;3.151,00;0,00;0,00;"14342";"X9106 BOLSA TIPO PORTA JOIA 15 200 3000";1.839,00;1.839,00;0,00;0,00
"411";"BM-P1521 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE : 500ML (ACO)";"96170010";-3,00;0,00;0,00;3,00;"COBERTURA_TOTAL";12.091,00;"15712";"BZ-600ML GARRAFA TERMICA 600ML-1";605,00;605,00;0,00;0,00;"10722";"PP-01  -  ORGANIZADOR DE GAVETAS";538,00;538,00;0,00;0,00;"2039";"BM-P1714 GARRAFA TERMICA DE INOX - 1000ML (SEM VIDRO INTERNO)";468,00;468,00;0,00;0,00
"420";"DH1038  BOLSA ADULTO FEMININA EM PVC";"42022210";-3,00;0,00;0,00;3,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"433";"W102 BOLSA";"42022210";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"473";"BM-P1482  GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE :750ML (ACO)";"96170010";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";12.091,00;"15712";"BZ-600ML GARRAFA TERMICA 600ML-1";605,00;605,00;0,00;0,00;"10722";"PP-01  -  ORGANIZADOR DE GAVETAS";538,00;538,00;0,00;0,00;"2039";"BM-P1714 GARRAFA TERMICA DE INOX - 1000ML (SEM VIDRO INTERNO)";468,00;468,00;0,00;0,00
"474";"8718 - BOLSA CPB";"42022210";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"492";"CML55410 BOLSA";"42022210";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"493";"CML55243 BOLSA";"42022210";-3,00;0,00;0,00;3,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"506";"BM-P1585  GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE :750ML (ACO)";"96170010";-1,00;0,00;0,00;1,00;"COBERTURA_TOTAL";12.091,00;"15712";"BZ-600ML GARRAFA TERMICA 600ML-1";605,00;605,00;0,00;0,00;"10722";"PP-01  -  ORGANIZADOR DE GAVETAS";538,00;538,00;0,00;0,00;"2039";"BM-P1714 GARRAFA TERMICA DE INOX - 1000ML (SEM VIDRO INTERNO)";468,00;468,00;0,00;0,00
"510";"24032-1 BOLSA CPB";"42022210";-4,00;0,00;0,00;4,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"515";"W21 BOLSA CPB";"42022210";-3,00;0,00;0,00;3,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
"516";"BM-P1478 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE :750ML (ACO)";"96170010";-2,00;0,00;0,00;2,00;"COBERTURA_TOTAL";12.091,00;"15712";"BZ-600ML GARRAFA TERMICA 600ML-1";605,00;605,00;0,00;0,00;"10722";"PP-01  -  ORGANIZADOR DE GAVETAS";538,00;538,00;0,00;0,00;"2039";"BM-P1714 GARRAFA TERMICA DE INOX - 1000ML (SEM VIDRO INTERNO)";468,00;468,00;0,00;0,00
"527";"24031 BOLSA CPB";"42022210";-5,00;0,00;0,00;5,00;"COBERTURA_TOTAL";45.715,00;"14338";"BOLSA FEMININA CAMILA .";1.000,00;1.000,00;0,00;0,00;"10490";"W110 BOLSA PEQUENA COM ALÇA";927,00;927,00;0,00;0,00;"10482";"55423 BOLSA COM ALÇA";884,00;884,00;0,00;0,00
