Quebra 1;Quebra 2;Código;Descrição;EMB;NCM;Estoque;Estoque Mínimo;Estoque Máximo;Custo (R$);Preço (R$);Total Custo (R$);Total Venda (R$)
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16627;BM-249 MICROFONE DINAMICO COM FIO - IMPEDANCIA: 600 OHMS;UN;85181090;60,00;0,00;0,00;1,00;12,00;60,00;720,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16628;12934 BICICLETA ERGOMTRICA AT 120KG PAINEL DE VELOCIDADE E CALORIA NATAL;UN;87120010;33,00;0,00;0,00;320,00;999,00;10560,00;32967,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16630;KK2266 CALCULADORA;UN;84701000;2,00;0,00;0,00;2,80;31,00;5,60;62,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16632;OS-9168 CALCULADORA;UN;84701000;24,00;0,00;0,00;2,42;28,00;58,08;672,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16633;288 CALCULADORA;UN;84701000;11,00;0,00;0,00;2,42;26,00;26,62;286,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16638;C560 BOLSA EM MATERIAL PU;UN;42022210;18,00;0,00;0,00;4,50;45,00;81,00;810,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16639;BM-F1124 PRATELEIRA ORGANIZADORA MULTIUSO COM RODIZIOS - 4 ANDARES -;UN;94032090;15,00;0,00;0,00;30,67;124,00;460,05;1860,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16640;OI-0089 - CINZEIRO DE VIDRO;UN;70139900;13,00;0,00;0,00;3,73;10,00;48,49;130,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16641;C-1086 BOLSA FESTA BRILHOSA;UN;42022210;15,00;0,00;0,00;4,00;43,00;60,00;645,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16642;BM-F1060 GUARDA ROUPA PORTATIL PA-3A;UN;39249000;10,00;0,00;0,00;34,49;126,00;344,90;1260,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16643;BM-F1148 ORGANIZADOR DE PIA SENDO PORTA UTENSILIOS COM DISPENSER DE SABAO;UN;39269090;91,00;0,00;0,00;9,93;40,50;903,63;3685,50
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16645;C-432 BOLSA EM MATERIAL PU;UN;42022210;18,00;0,00;0,00;4,50;45,00;81,00;810,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16646;YY19351-M BOLSA FEMININA;UN;42022210;8,00;0,00;0,00;25,74;139,00;205,92;1112,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16647;BM-248 MICROFONE SEM FIO DC5V USB-5V OU BATERIA;UN;85181090;10,00;0,00;0,00;16,62;129,00;166,20;1290,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16648;C-1085 BOLSA FESTA;UN;42022210;15,00;0,00;0,00;4,00;43,00;60,00;645,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16651;YY19351-G BOLSA FEMININA;UN;42022210;6,00;0,00;0,00;42,90;199,00;257,40;1194,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16653;OI-0082 -  AMASSADOR DE ALHO;UN;82055100;30,00;0,00;0,00;1,33;6,00;39,90;180,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16660;C-1084 BOLSA FESTA;UN;42022210;15,00;0,00;0,00;4,00;43,00;60,00;645,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16661;C1170 BOLSA EM MATERIAL PU;UN;42022210;18,00;0,00;0,00;4,50;45,00;81,00;810,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );Local: 15 - GALPÃO;16662;C824 CARTEIRA DE POLIURETANO;UN;42023200;42,00;0,00;0,00;1,00;10,50;42,00;441,00
