Quebra 1;Quebra 2;Código;Descrição;EMB;NCM;Estoque;Estoque Mínimo;Estoque Máximo;Custo (R$);Preço (R$);Total Custo (R$);Total Venda (R$)
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;335;W1011 BOLSA;UN;42022220;10,00;0,00;0,00;5,00;32,00;50,00;320,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;336;W2003 MOCHILA;UN;42029200;1,00;0,00;0,00;6,40;64,00;6,40;64,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;337;W1012 BOLSA;UN;42022220;44,00;0,00;0,00;6,25;45,00;275,00;1980,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;338;W1501 BOLSA;UN;42022220;108,00;0,00;0,00;11,00;70,00;1188,00;7560,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;340;W1604 BOLSA;UN;42022220;14,00;0,00;0,00;12,00;77,00;168,00;1078,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;341;W7006 BOLSA;UN;42022220;-24,00;0,00;0,00;5,25;38,00;-126,00;-912,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;342;W332 MOCHILA;UN;42029200;12,00;0,00;0,00;10,25;0,00;123,00;0,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;343;WF018 MOCHILA;UN;42029200;15,00;0,00;0,00;7,25;46,00;108,75;690,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;344;W5002 BOLSA;UN;42029200;15,00;0,00;0,00;7,00;45,00;105,00;675,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;345;W8007 MOCHILA;UN;42029200;28,00;0,00;0,00;8,75;56,00;245,00;1568,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;346;W1505 BOLSA;UN;42029200;1,00;0,00;0,00;7,00;70,00;7,00;70,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;347;W8005 MOCHILA;UN;42029200;74,00;0,00;0,00;8,25;53,00;610,50;3922,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;348;W5011 MOCHILA;UN;42029200;85,00;0,00;0,00;9,00;58,00;765,00;4930,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;349;W7019 MOCHILA;UN;42029200;133,00;0,00;0,00;10,00;64,00;1330,00;8512,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;350;W1207 BOLSA;UN;42029200;1,00;0,00;0,00;5,10;51,00;5,10;51,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;351;W7014 MOCHILA;UN;42029200;98,00;0,00;0,00;9,50;61,00;931,00;5978,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;352;W8002 MOCHILA;UN;42029200;1,00;0,00;0,00;5,30;53,00;5,30;53,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;353;W033 BOLSA;UN;42022220;1,00;0,00;0,00;5,80;58,00;5,80;58,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;354;W1202 MOCHILA;UN;42029200;2,00;0,00;0,00;5,80;58,00;11,60;116,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;355;W1203 BOLSA;UN;42029200;1,00;0,00;0,00;5,40;54,00;5,40;54,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;356;W2005 MOCHILA;UN;42029200;1,00;0,00;0,00;6,40;64,00;6,40;64,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;357;W8004  MOCHILA;UN;42029200;1,00;0,00;0,00;5,30;53,00;5,30;53,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;358;W7003  MOCHILA;UN;42029200;1,00;0,00;0,00;5,40;54,00;5,40;54,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;359;W1201 BOLSA;UN;42029200;1,00;0,00;0,00;5,80;58,00;5,80;58,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;360;W1204 BOLSA;UN;42029200;1,00;0,00;0,00;5,40;54,00;5,40;54,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;361;W2004 MOCHILA;UN;42029200;1,00;0,00;0,00;6,40;64,00;6,40;64,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;362;W7011 MOCHILA;UN;42029200;3,00;0,00;0,00;5,40;45,00;16,20;135,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;363;W7023 MOCHILA;UN;42029200;1,00;0,00;0,00;6,40;64,00;6,40;64,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;364;W1013 BOLSA;UN;42022220;-15,00;0,00;0,00;4,00;40,00;-60,00;-600,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;365;W6001 MOCHILA;UN;42029200;1,00;0,00;0,00;6,70;67,00;6,70;67,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;367;W2002 MOCHILA;UN;42029200;1,00;0,00;0,00;6,40;64,00;6,40;64,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;368;W1014 BOLSA;UN;42029200;-20,00;0,00;0,00;4,50;45,00;-90,00;-900,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;369;W1206 BOLSA;UN;42029200;1,00;0,00;0,00;5,10;51,00;5,10;51,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;370;W7008 BOLSA;UN;42029200;-22,00;0,00;0,00;3,00;30,00;-66,00;-660,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;371;W7010 BOLSA;UN;42029200;1,00;0,00;0,00;3,90;26,00;3,90;26,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;372;W8008 MOCHILA;UN;42029200;4,00;0,00;0,00;5,30;53,00;21,20;212,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;373;W7015 MOCHILA;UN;42029200;4,00;0,00;0,00;6,10;61,00;24,40;244,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;374;W7013 MOCHILA;UN;42029200;15,00;0,00;0,00;9,00;61,00;135,00;915,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;375;WF017 MOCHILA;UN;42029200;1,00;0,00;0,00;4,60;46,00;4,60;46,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;377;W75009 MOCHILA;UN;42029200;15,00;0,00;0,00;8,70;58,00;130,50;870,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;378;W8006 MOCHILA;UN;42029200;1,00;0,00;0,00;5,30;53,00;5,30;53,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;379;W1502 BOLSA;UN;42029200;1,00;0,00;0,00;7,00;70,00;7,00;70,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;380;W2008 MOCHILA;UN;42029200;2,00;0,00;0,00;6,40;64,00;12,80;128,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;381;W2006 MOCHILA;UN;42029200;1,00;0,00;0,00;6,70;67,00;6,70;67,00
Loja: 1 - NEWSHOP COMERCIO LTDA ( LOJA );;382;W7012 MOCHILA;UN;42029200;2,00;0,00;0,00;4,50;45,00;9,00;90,00
