Codigo;Descricao;EMB;NCM;Saldo_Loja_1;Saldo_Loja_2_Deposito;Saldo_Loja_3_CD;Saldo_Total;Custo_Unit;Preco_Unit;Valor_Estoque_Total
"60";"2438 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"UN";"42022210";1,00;0,00;0,00;1,00;1,85;104,00;1,85
"61";"2439 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"UN";"42022210";4,00;0,00;0,00;4,00;1,53;110,00;6,12
"62";"2445 - BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER";"UN";"42022210";49,00;0,00;0,00;49,00;1,12;96,00;54,88
"64";"F0002 - BOLSA DE PLASTICO SEM MARCA";"UN";"42022210";311,00;0,00;335,00;646,00;1,90;69,00;1.227,40
"65";"0379-0390 - BOLSA DE PLASTICO SEM MARCA ACONDICIONADAS EM CAIXAS COM 48 PECAS";"UN";"42022210";12,00;0,00;0,00;12,00;1,51;0,00;18,12
"66";"0286-0295 - BOLSA DE PLASTICO SEM MARCA ACONDICIONADAS EM CAIXAS COM 48 PECAS";"UN";"42022210";12,00;0,00;0,00;12,00;1,43;0,00;17,16
"69";"2447 BOLSA TIRACOLO COM ALCA BOLSOS FRONTAIS COM ZIPER MATERIAL PLASTICO (PU)";"UN";"42022210";5,00;0,00;0,00;5,00;1,23;67,20;6,15
"87";"BM-P1618 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE :750ML (ACO)";"UN";"96170010";20,00;0,00;0,00;20,00;17,25;50,00;345,00
"88";"0825 - BOLSA FEMININA CONSTITUIDA EXTERNAMENTE";"UN";"42022210";1,00;0,00;0,00;1,00;12,48;83,20;12,48
"90";"2453 - BOLSA FEMININA CONSTITUIDA EXTERNAMENTE";"UN";"42022210";64,00;0,00;0,00;64,00;0,17;39,90;10,88
"96";"DB-862 - BOLSA ADULTO FEMININA EM PVC - ITEM NO.: DA-1722";"UN";"42022210";1,00;0,00;0,00;1,00;6,33;29,60;6,33
"97";"DB-953 - BOLSA ADULTO FEMININA EM PVC - ITEM NO.: DA-1722";"UN";"42022210";1,00;0,00;0,00;1,00;7,20;36,00;7,20
"106";"BM-P1444 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE: 500ML";"UN";"96170010";20,00;0,00;0,00;20,00;9,63;46,00;192,60
"109";"BM-P1359 GARRAFA TERMICA COM ALCA (SEM VIDRO INTERNO) -CAPACIDADE: 900ML(INOX)";"UN";"96170010";49,00;0,00;0,00;49,00;6,10;46,00;298,90
"112";"H-46 BOLSA ADULTO FEMININA EM PVC";"UN";"42022210";1,00;0,00;0,00;1,00;6,33;42,00;6,33
"116";"DB-845 BOLSA ADULTO FEMININA EM PVC";"UN";"42022210";1,00;0,00;0,00;1,00;5,52;36,80;5,52
"119";"BM-P1474 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE : 450ML (ACO)";"UN";"96170010";15,00;0,00;0,00;15,00;5,42;39,00;81,30
"121";"BM-P1531 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE : 500ML";"UN";"96170010";12,00;0,00;0,00;12,00;5,78;32,00;69,36
"123";"BM-P1547 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE: 600ML -";"UN";"96170010";12,00;0,00;0,00;12,00;6,32;33,00;75,84
"124";"DUPLU GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE: 800ML";"UN";"96170010";50,00;0,00;0,00;50,00;6,86;6,86;343,00
"125";"BM-P1615 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE :300ML (ACO)";"UN";"96170010";24,00;0,00;0,00;24,00;18,20;55,00;436,80
"126";"BM-P1619 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE : 750ML (ACO)";"UN";"96170010";7,00;0,00;0,00;7,00;17,76;38,00;124,32
"127";"BM-P1679 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE: 680ML";"UN";"96170010";47,00;0,00;0,00;47,00;14,69;46,00;690,43
"128";"BM-P1681 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE : 500ML (ACO)";"UN";"96170010";34,00;0,00;0,00;34,00;11,99;39,00;407,66
"130";"BM-P1306 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE : 800ML (ACO)";"UN";"96170010";50,00;0,00;0,00;50,00;11,44;0,00;572,00
"132";"BM-P1684 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE : 500ML (ACO)";"UN";"96170010";20,00;0,00;0,00;20,00;12,04;39,00;240,80
"134";"BM-P1685 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE: 500ML";"UN";"96170010";26,00;0,00;0,00;26,00;12,50;39,00;325,00
"136";"BM-P1686 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE: 500ML";"UN";"96170010";42,00;0,00;0,00;42,00;12,41;39,00;521,22
"137";"BM-P1453 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE 600ML";"UN";"96170010";21,00;0,00;0,00;21,00;10,00;41,00;210,00
"138";"BM-P1687 GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE : 500ML (ACO)";"UN";"96170010";30,00;0,00;0,00;30,00;11,63;39,00;348,90
"141";"GARRAFA TERMICA DE INOX (SEM VIDRO INTERNO) - CAPACIDADE : 500ML (ACO)";"UN";"96170010";60,00;0,00;0,00;60,00;11,74;11,74;704,40
