Codigo;Descricao;NCM;Loja_Origem;Loja_Destino;Qtd_Transferir;Custo_Unit;Valor_Transferencia;Saldo_Origem_Antes;Saldo_Origem_Depois;Saldo_Destino_Antes;Saldo_Destino_Depois
"33359";"PPA-499T POW POW TUBARAO";"95030039";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;15,79;15,79;6,00;5,00;-1,00;0,00
"33360";"PPA-499T POW POW TUBARAO";"95030039";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;15,79;15,79;6,00;5,00;-1,00;0,00
"33436";"W-002 KIT PARAFUSO COM BUCHA";"82060000";"Loja 3 (CD)";"Loja 1 (Loja)";10,00;0,51;5,10;48,00;38,00;-10,00;0,00
"33446";"DT9036 POTE HERMETICO DE VIDRO COM TAMPA E COLHER DE M";"70134900";"Loja 3 (CD)";"Loja 1 (Loja)";2,00;10,96;21,92;24,00;22,00;-2,00;0,00
"33447";"DT9027 POTE HERMETICO DE VIDRO COM TAMPA E COLHER DE M";"70134900";"Loja 3 (CD)";"Loja 1 (Loja)";3,00;10,43;31,29;30,00;27,00;-3,00;0,00
"33449";"DT9024 POTE HERMETICO DE VIDRO COM TAMPA DE MADEIRA 75";"70134900";"Loja 3 (CD)";"Loja 1 (Loja)";6,00;7,41;44,46;24,00;18,00;-6,00;0,00
"33451";"DT9200 TIGELA COM TAMPA DE VIDRO 15L";"70134900";"Loja 3 (CD)";"Loja 1 (Loja)";2,00;11,94;23,88;2,00;0,00;-5,00;-3,00
"33452";"DT9201 TIGELA COM TAMPA DE VIDRO 15L";"70134900";"Loja 3 (CD)";"Loja 1 (Loja)";2,00;11,94;23,88;2,00;0,00;-5,00;-3,00
"33454";"BRHS14593 APARELHO DE JANTAR OPALINA DE VIDRO";"70134290";"Loja 3 (CD)";"Loja 1 (Loja)";1,00;66,20;66,20;1,00;0,00;-1,00;0,00
"33469";"DT8401 CANECA DE VIDRO COM COLHER DE METAL E TAMPA DE";"70133700";"Loja 3 (CD)";"Loja 1 (Loja)";8,00;5,25;42,00;40,00;32,00;-8,00;0,00
"33472";"DC-01062 BOLSA";"42022210";"Loja 3 (CD)";"Loja 1 (Loja)";12,00;15,01;180,12;20,00;8,00;-12,00;0,00
"33473";"DC-01066 BOLSA";"42022210";"Loja 3 (CD)";"Loja 1 (Loja)";7,00;12,64;88,48;12,00;5,00;-7,00;0,00
"33474";"DC-01065 BOLSA";"42022210";"Loja 3 (CD)";"Loja 1 (Loja)";8,00;12,64;101,12;10,00;2,00;-8,00;0,00
"33512";"OIH-2994 FITA DE VEDACAO PVC";"39191020";"Loja 3 (CD)";"Loja 1 (Loja)";5,00;0,65;3,25;18,00;13,00;-5,00;0,00
"33528";"4088 GELELÉ SLIME CLIP BAG 180G 1X15 HOT WHEELS";"95030099";"Loja 3 (CD)";"Loja 1 (Loja)";2,00;8,44;16,88;30,00;28,00;-2,00;0,00
"33532";"LWJ-2214 TESOURA PARA FURADEIRA ELETRICA";"82075019";"Loja 3 (CD)";"Loja 1 (Loja)";6,00;3,96;23,76;30,00;24,00;-6,00;0,00
"33537";"4087 GELELÉ SLIME CLIP BAG 180G 4X15 BARBIE";"95030099";"Loja 3 (CD)";"Loja 1 (Loja)";4,00;8,02;32,08;30,00;26,00;-4,00;0,00
