Codigo;qtd
16275;12
16278;20
16279;348
16281;24
16283;24
16284;174
16285;24
16286;96
16287;168
16288;192
16290;100
16291;168
16293;24
16297;36
16298;20
16305;43
16306;1
16307;24
16308;120
16309;72
16310;90
16311;72
16312;24
16316;20
16318;150
16320;17
16323;31
16324;200
16325;24
16326;30
16327;24
16328;24
16329;102
16330;24
16332;180
16338;24
16339;24
16341;24
16342;24
16343;24
16344;120
16345;144
16346;72
16348;96
16350;24
16351;60
16360;72
16361;1
16362;72
16363;360
16364;24
16365;120
16366;48
16368;120
16369;144
16370;24
16373;24
16374;24
16378;72
16379;48
16381;72
16384;48
16386;100
16389;24
16391;50
16414;4
16425;50
16432;1
16471;8
16480;8
16495;2
16503;30
16506;56
16508;50
16523;30
16524;10
16527;20
16529;40
16530;62
16532;30
16534;1
16535;15
16538;20
16539;30
16542;15
16543;30
16545;20
16549;20
16550;32
16552;30
16556;20
16558;30
16561;30
16564;30
16569;30
16570;42
16572;32
16577;30
16581;20
16582;30
16584;30
16599;27
16604;160
16608;1205
16615;25
16627;20
16629;5320
16634;4328
16636;1440
16639;10
16642;5
16665;30
16677;828
16680;28
16703;72
16711;100
16720;385
16722;380
16724;10
16734;9
16741;227
16755;120
16757;83
16781;22
16800;25
16818;72
16819;37
16861;20
16876;517
16884;150
16889;31
16923;300
16934;500
16949;30
16987;50
17065;180
17090;30
17097;1298
17098;150
17162;200
17197;160
17200;240
17300;24
17305;1782
17306;500
17316;51
17317;240
17322;360
17325;60
17326;80
17327;240
17328;420
17331;300
17338;76
17342;24
17343;30
17348;20
17355;12
17357;20
17362;12
17367;30
17446;72
17448;74
17450;124
17451;110
17452;109
17454;138
17455;60
17463;90
17464;60
17465;120
17477;12
17479;10
17484;5
17513;16
17520;36
17559;15
17560;4
17563;15
17565;11
17575;13
17579;20
17585;30
17592;19
17593;18
17601;17
17603;10
17610;21
17622;21
17715;60
17742;16
17744;75
17762;16
17764;300
17772;120
17776;120
17777;120
17779;60
17781;120
17782;240
17792;60
17795;500
17801;240
17802;40
17811;16
17821;79
17871;30
17874;2190
17906;25
17924;50
17933;24
17949;15
17953;100
17958;144
17965;7
17996;40
18011;147
18020;90
18030;27
18036;21
18041;100
18048;20
18059;5
18063;3
18068;20
18070;24
18074;60
18075;21
18076;9
18079;13
18083;36
18088;21
18093;8
18094;6
18095;15
18096;24
18101;24
18103;18
18109;24
18110;24
18111;24
18113;24
18114;50
18117;24
18118;24
18131;36
18137;15
18145;24
18147;2
18148;16
18149;54
18151;36
18152;36
18153;24
18154;24
18155;24
18156;24
18158;21
18159;1
18160;22
18161;18
18162;36
18163;23
18164;24
18170;12
18172;24
18174;10
18175;10
18178;54
18186;36
18190;17
18191;9
18193;1
18207;37
18230;39
18232;19
18247;6
18260;13
18262;36
18267;60
18288;1
18290;20
18322;152
18323;10
18336;120
18354;4
18356;26
18357;54
18367;234
18390;21
18403;130
18406;90
18414;943
18420;40
18421;10
18423;82
18426;50
18429;50
18431;65
18432;23
18436;250
18440;195
18444;1000
18449;200
18454;250
18455;100
18457;100
18461;38
18463;70
18467;200
18495;30
18499;4760
18507;30
18512;198
18513;85
18521;62
18522;354
18524;120
18525;6
18534;687
18562;1
18572;3
18580;2
18583;1
18644;183
18646;145
18673;180
18678;45
18682;84
18684;80
18688;326
18693;200
18695;70
18696;62
18698;72
18701;120
18716;24
18722;36
18739;34
18744;50
18746;50
18749;4
18768;8
18778;3600
18780;90
18787;15
18798;22
18806;22
18807;22
18813;66
18817;44
18819;33
18832;22
18835;22
18839;44
18842;44
18847;22
18851;22
18855;11
18857;66
18860;222
18863;23
18869;22
18873;66
18874;22
18889;44
18892;22
18895;22
18900;22
18904;22
18906;19
18923;40
18926;22
18928;22
18932;11
18941;22
18943;66
18945;22
18949;20
18950;22
18951;66
18953;22
18962;44
18963;88
18964;44
18965;66
18966;66
18967;44
18968;22
18971;22
18972;22
18973;24
18974;88
18975;33
18976;110
18977;22
18979;66
18980;22
18981;44
18982;22
18983;22
18985;33
18988;22
18990;44
19042;600
19217;5
19218;11
19219;68
19262;30
19281;20
19296;20
19298;20
19317;50
19452;500
19504;50
19541;30
19559;100
19574;1
19575;10
19579;12
19584;30
19589;8
19590;40
19593;24
19598;50
19599;8
19605;10
19628;106
19629;300
19630;220
19631;172
19635;250
19637;30
19638;144
